Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2022,Control of Corruption: Estimate,CC.EST,-1.10103046894073
Nigeria,NGA,2021,Control of Corruption: Estimate,CC.EST,-1.1032567024231
Nigeria,NGA,2020,Control of Corruption: Estimate,CC.EST,-1.1208575963974
Nigeria,NGA,2019,Control of Corruption: Estimate,CC.EST,-1.11513042449951
Nigeria,NGA,2018,Control of Corruption: Estimate,CC.EST,-1.08356761932373
Nigeria,NGA,2017,Control of Corruption: Estimate,CC.EST,-1.09980297088623
Nigeria,NGA,2016,Control of Corruption: Estimate,CC.EST,-1.04513537883759
Nigeria,NGA,2015,Control of Corruption: Estimate,CC.EST,-1.09567785263062
Nigeria,NGA,2014,Control of Corruption: Estimate,CC.EST,-1.28350389003754
Nigeria,NGA,2013,Control of Corruption: Estimate,CC.EST,-1.22686922550201
Nigeria,NGA,2012,Control of Corruption: Estimate,CC.EST,-1.17593324184418
Nigeria,NGA,2011,Control of Corruption: Estimate,CC.EST,-1.18936145305634
Nigeria,NGA,2010,Control of Corruption: Estimate,CC.EST,-1.05150854587555
Nigeria,NGA,2009,Control of Corruption: Estimate,CC.EST,-1.04188585281372
Nigeria,NGA,2008,Control of Corruption: Estimate,CC.EST,-0.900948941707611
Nigeria,NGA,2007,Control of Corruption: Estimate,CC.EST,-1.06693983078003
Nigeria,NGA,2006,Control of Corruption: Estimate,CC.EST,-1.12639439105988
Nigeria,NGA,2005,Control of Corruption: Estimate,CC.EST,-1.18077552318573
Nigeria,NGA,2004,Control of Corruption: Estimate,CC.EST,-1.38337290287018
Nigeria,NGA,2003,Control of Corruption: Estimate,CC.EST,-1.41765379905701
Nigeria,NGA,2002,Control of Corruption: Estimate,CC.EST,-1.50206756591797
Nigeria,NGA,2000,Control of Corruption: Estimate,CC.EST,-1.32463443279266
Nigeria,NGA,1998,Control of Corruption: Estimate,CC.EST,-1.16061270236969
Nigeria,NGA,1996,Control of Corruption: Estimate,CC.EST,-1.18900859355927
Nigeria,NGA,2022,Control of Corruption: Number of Sources,CC.NO.SRC,12
