Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
NGA,2022,CC.EST,-1.10103046894073
NGA,2021,CC.EST,-1.1032567024231
NGA,2020,CC.EST,-1.1208575963974
NGA,2019,CC.EST,-1.11513042449951
NGA,2018,CC.EST,-1.08356761932373
NGA,2017,CC.EST,-1.09980297088623
NGA,2016,CC.EST,-1.04513537883759
NGA,2015,CC.EST,-1.09567785263062
NGA,2014,CC.EST,-1.28350389003754
NGA,2013,CC.EST,-1.22686922550201
NGA,2012,CC.EST,-1.17593324184418
NGA,2011,CC.EST,-1.18936145305634
NGA,2010,CC.EST,-1.05150854587555
NGA,2009,CC.EST,-1.04188585281372
NGA,2008,CC.EST,-0.900948941707611
NGA,2007,CC.EST,-1.06693983078003
NGA,2006,CC.EST,-1.12639439105988
NGA,2005,CC.EST,-1.18077552318573
NGA,2004,CC.EST,-1.38337290287018
NGA,2003,CC.EST,-1.41765379905701
NGA,2002,CC.EST,-1.50206756591797
NGA,2000,CC.EST,-1.32463443279266
NGA,1998,CC.EST,-1.16061270236969
NGA,1996,CC.EST,-1.18900859355927
NGA,2022,GE.EST,-1.03512346744537
NGA,2021,GE.EST,-1.02781987190247
NGA,2020,GE.EST,-1.14423859119415
NGA,2019,GE.EST,-1.21332895755768
NGA,2018,GE.EST,-1.11822462081909
NGA,2017,GE.EST,-1.04142808914185
NGA,2016,GE.EST,-1.11994469165802
NGA,2015,GE.EST,-0.996232509613037
NGA,2014,GE.EST,-1.18909764289856
NGA,2013,GE.EST,-0.997697591781616
NGA,2012,GE.EST,-1.00097513198853
NGA,2011,GE.EST,-1.10223460197449
NGA,2010,GE.EST,-1.16522252559662
NGA,2009,GE.EST,-1.20047557353973
NGA,2008,GE.EST,-0.987497508525848
NGA,2007,GE.EST,-1.03206491470337
NGA,2006,GE.EST,-0.96748149394989
NGA,2005,GE.EST,-0.897212326526642
NGA,2004,GE.EST,-0.935620546340942
NGA,2003,GE.EST,-0.916132032871246
NGA,2002,GE.EST,-1.0197149515152
NGA,2000,GE.EST,-0.970691919326782
NGA,1998,GE.EST,-1.11976456642151
NGA,1996,GE.EST,-0.923635601997375
NGA,2022,PV.EST,-1.79814147949219
NGA,2021,PV.EST,-1.78729927539825
NGA,2020,PV.EST,-1.89196145534515
NGA,2019,PV.EST,-1.93307113647461
NGA,2018,PV.EST,-2.09741425514221
NGA,2017,PV.EST,-1.99671685695648
NGA,2016,PV.EST,-1.87388896942139
NGA,2015,PV.EST,-1.92170512676239
NGA,2014,PV.EST,-2.1302764415741
NGA,2013,PV.EST,-2.08847832679749
NGA,2012,PV.EST,-2.04207372665405
NGA,2011,PV.EST,-1.95645451545715
NGA,2010,PV.EST,-2.21112322807312
NGA,2009,PV.EST,-1.99455380439758
NGA,2008,PV.EST,-1.86071193218231
NGA,2007,PV.EST,-2.01405644416809
NGA,2006,PV.EST,-2.03407764434814
NGA,2005,PV.EST,-1.6665004491806
NGA,2004,PV.EST,-1.75441575050354
NGA,2003,PV.EST,-1.63558828830719
NGA,2002,PV.EST,-1.62632930278778
NGA,2000,PV.EST,-1.45532631874084
NGA,1998,PV.EST,-0.588243722915649
NGA,1996,PV.EST,-1.05690824985504
